Order ID;Date;Product;Country Code;   UnitCost  2 ;   UnitPrice  2 ;SalesQuantity
1;01/01/16;Chicken Fajita Wrap (Potsdam);DEU; 1,00 € ; 4,98 € ;250
2;02/01/16;Yoghurt (Odense);DNK; 1,08 € ; 5,39 € ;112
3;03/01/16;Green Tea (Stuttgart);DEU; 0,62 € ; 3,12 € ;267
4;04/01/16;Ham & Cheese Toastie (Graz);AUT; 0,44 € ; 2,19 € ;253
5;05/01/16;Almond Croissant (Sydney);AUS; 0,82 € ; 4,11 € ;254
6;06/01/16;Peach Juice (Hamburg);DEU; 0,32 € ; 1,60 € ;186
7;07/01/16;Granola Bar (Glasgow);GBR; 0,47 € ; 2,35 € ;250
8;08/01/16;Butter Croissant (Vancouver);CAN; 0,52 € ; 2,61 € ;177
9;09/01/16;Tea (Seattle);USA; 0,38 € ; 1,89 € ;471
10;10/01/16;Still Water (Toronto);CAN; 0,98 € ; 4,88 € ;119
11;11/01/16;Peach Juice (Sydney);AUS; 1,00 € ; 5,02 € ;470
12;12/01/16;Almond Croissant (Sydney);AUS; 0,68 € ; 3,38 € ;471
13;13/01/16;Chicken Salad Sandwich (Birmingham);GBR; 0,98 € ; 4,91 € ;311
14;14/01/16;Orange Juice (Seattle);USA; 0,99 € ; 4,96 € ;479
15;15/01/16;Green Tea (Berlin);DEU; 0,74 € ; 3,70 € ;477
16;16/01/16;Butter Croissant (Galway);IRL; 0,99 € ; 4,97 € ;209
17;17/01/16;Ham & Cheese Toastie (Auckland);NZL; 0,70 € ; 3,48 € ;216
18;18/01/16;Toast (Stuttgart);DEU; 0,98 € ; 4,88 € ;311
19;19/01/16;Toast (Auckland);NZL; 1,04 € ; 5,19 € ;343
20;20/01/16;Ham & Cheese Toastie (Copenhagan);DNK; 0,49 € ; 2,47 € ;469
21;21/01/16;Chocolate Twist (Stockholm);SWE; 0,79 € ; 3,97 € ;196
22;22/01/16;Lemon & Ginger Tea (Sønderborg);DNK; 0,41 € ; 2,05 € ;311
23;23/01/16;BLT Sandwich (Kraków);POL; 0,46 € ; 2,28 € ;179
24;24/01/16;Peach Juice (Berlin);DEU; 0,77 € ; 3,84 € ;388
25;25/01/16;Yoghurt (Berlin);DEU; 0,83 € ; 4,16 € ;347
26;26/01/16;Toast (Salzburg);AUT; 0,35 € ; 1,74 € ;353
27;27/01/16;Porridge (Lausanne);CHE; 0,30 € ; 1,52 € ;380
28;28/01/16;Chicken Salad Sandwich (Vancouver);CAN; 0,61 € ; 3,07 € ;343
29;29/01/16;Green Tea (Glasgow);GBR; 0,43 € ; 2,13 € ;340
30;30/01/16;Yoghurt (Brussels);BEL; 0,79 € ; 3,94 € ;232
31;31/01/16;Lemon & Ginger Tea (Toronto);CAN; 0,34 € ; 1,72 € ;405
32;01/02/16;Peach Juice (Seattle);USA; 0,65 € ; 3,26 € ;115
33;02/02/16;Still Water (Katowice);POL; 0,38 € ; 1,91 € ;281
34;03/02/16;Blueberry Muffin (Lille);FRA; 0,43 € ; 2,15 € ;470
35;04/02/16;Granola Bar (Portland);USA; 0,55 € ; 2,75 € ;131
36;05/02/16;Granola Bar (Strasbourg);FRA; 0,41 € ; 2,07 € ;259
37;06/02/16;Peach Juice (Salzburg);AUT; 0,91 € ; 4,53 € ;152
38;07/02/16;Butter Croissant (Geneva);CHE; 0,65 € ; 3,27 € ;305
39;08/02/16;Orange Juice (Cardiff);GBR; 0,49 € ; 2,45 € ;361
40;09/02/16;Apple Juice (Dresden);DEU; 0,70 € ; 3,51 € ;365
41;10/02/16;Porridge (Portland);USA; 0,73 € ; 3,67 € ;132
42;11/02/16;Coffee (Toronto);CAN; 0,34 € ; 1,68 € ;497
43;12/02/16;Yoghurt (Auckland);NZL; 0,75 € ; 3,74 € ;298
44;13/02/16;Granola Bar (Berlin);DEU; 0,75 € ; 3,73 € ;359
45;14/02/16;Almond Croissant (Sydney);AUS; 0,93 € ; 4,64 € ;299
46;15/02/16;Apple Juice (Albuquerque);USA; 1,03 € ; 5,17 € ;382
